scan,material,colormap,gt_med,rec_med
LICGC_01_4um,LICGC,copper,9.098312103716921e-10,9.097302079408722e-10
LICGC_01_4um,LICGC,hot,9.098312103716921e-10,9.097302079408722e-10
LICGC_01_4um,LICGC,jet,9.098312103716921e-10,9.097302079408722e-10
LICGC_01_4um,LICGC,viridis,9.098312103716921e-10,9.097302079408722e-10
LICGC_02_4um,LICGC,copper,3.4054475905875847e-10,3.399443904477237e-10
LICGC_02_4um,LICGC,hot,3.4054475905875847e-10,3.399443904477237e-10
LICGC_02_4um,LICGC,jet,3.4054475905875847e-10,3.399443904477237e-10
LICGC_02_4um,LICGC,viridis,3.4054475905875847e-10,3.4136418626458636e-10
LICGC_03_4um,LICGC,copper,3.9710948418480996e-10,3.987086637970721e-10
LICGC_03_4um,LICGC,hot,3.9710948418480996e-10,3.9687917266332186e-10
LICGC_03_4um,LICGC,jet,3.9710948418480996e-10,3.950496815295716e-10
LICGC_03_4um,LICGC,viridis,3.9710948418480996e-10,3.9687917266332186e-10
LICGC_04_4um,LICGC,copper,4.976623002583835e-10,4.9640447460647e-10
LICGC_04_4um,LICGC,hot,4.976623002583835e-10,4.9640447460647e-10
LICGC_04_4um,LICGC,jet,4.976623002583835e-10,4.952506287422994e-10
LICGC_04_4um,LICGC,viridis,4.976623002583835e-10,4.952506287422994e-10
LICGC_05_4um,LICGC,copper,3.2295519036829035e-10,3.2034171132726684e-10
LICGC_05_4um,LICGC,hot,3.2295519036829035e-10,3.22873159907435e-10
LICGC_05_4um,LICGC,jet,3.2295519036829035e-10,3.216074356173509e-10
LICGC_05_4um,LICGC,viridis,3.2295519036829035e-10,3.216074356173509e-10
LICGC_06_4um,LICGC,copper,1.5680649834148852e-10,1.5643182577183045e-10
LICGC_06_4um,LICGC,hot,1.5680649834148852e-10,1.5295391032164302e-10
LICGC_06_4um,LICGC,jet,1.5680649834148852e-10,1.5643182577183045e-10
LICGC_06_4um,LICGC,viridis,1.5680649834148852e-10,1.555623469092836e-10
LICGC_07_4um,LICGC,copper,1.616001776838516e-10,1.6177712735608666e-10
LICGC_07_4um,LICGC,hot,1.616001776838516e-10,1.6177712735608666e-10
LICGC_07_4um,LICGC,jet,1.616001776838516e-10,1.5996626943822168e-10
LICGC_07_4um,LICGC,viridis,1.616001776838516e-10,1.5996626943822168e-10
LICGC_08_4um,LICGC,copper,1.954332806697323e-10,1.9402519405945876e-10
LICGC_08_4um,LICGC,hot,1.954332806697323e-10,1.949905788304928e-10
LICGC_08_4um,LICGC,jet,1.954332806697323e-10,1.9402519405945876e-10
LICGC_08_4um,LICGC,viridis,1.954332806697323e-10,1.9402519405945876e-10
LICGC_09_4um,LICGC,copper,3.7261854712866693e-10,3.698347080108354e-10
LICGC_09_4um,LICGC,hot,3.7261854712866693e-10,3.713446656653888e-10
LICGC_09_4um,LICGC,jet,3.7261854712866693e-10,3.713446656653888e-10
LICGC_09_4um,LICGC,viridis,3.7261854712866693e-10,3.698347080108354e-10
LICGC_10_4um,LICGC,copper,2.0553650448285055e-10,2.0394878803216306e-10
LICGC_10_4um,LICGC,hot,2.0553650448285055e-10,2.0489181699318342e-10
LICGC_10_4um,LICGC,jet,2.0553650448285055e-10,2.058348459542038e-10
LICGC_10_4um,LICGC,viridis,2.0553650448285055e-10,2.0394878803216306e-10
LMNO_pristine_01_4um,LMNO,copper,6.139240227298615e-10,6.17826933240979e-10
LMNO_pristine_01_4um,LMNO,hot,6.139240227298615e-10,6.221871199216408e-10
LMNO_pristine_01_4um,LMNO,jet,6.139240227298615e-10,6.17826933240979e-10
LMNO_pristine_01_4um,LMNO,viridis,6.139240227298615e-10,6.221871199216408e-10
LMNO_pristine_02_4um,LMNO,copper,6.899137372506914e-10,6.915643584413471e-10
LMNO_pristine_02_4um,LMNO,hot,6.899137372506914e-10,6.915643584413471e-10
LMNO_pristine_02_4um,LMNO,jet,6.899137372506914e-10,6.915643584413471e-10
LMNO_pristine_02_4um,LMNO,viridis,6.899137372506914e-10,6.963789371539075e-10
LMNO_pristine_03_4um,LMNO,copper,5.375792588857564e-10,5.404774773565268e-10
LMNO_pristine_03_4um,LMNO,hot,5.375792588857564e-10,5.370824331230366e-10
