sweep,colormap,param,nMAE,SSIM
quality,copper,50,2.0148293773946913,0.7399788504455932
quality,copper,65,1.8708023587087588,0.7654370493763348
quality,copper,75,1.7648145423273758,0.7885702736205026
quality,copper,85,1.4753261602268875,0.8576090153324423
quality,copper,95,1.0617477477374588,0.9285708170757608
resolution,copper,256,1.4753261602268875,0.8576090153324423
resolution,copper,192,1.3857418160605433,0.9049920566359301
resolution,copper,128,1.6474159015741299,0.9067680464479053
resolution,copper,96,1.5161203754928088,0.9202225804905707
resolution,copper,64,1.8458723029212514,0.9303470602994233
quality,hot,50,1.8717625709177887,0.7274404697445409
quality,hot,65,1.742239772370336,0.7640431442685544
quality,hot,75,1.6210894893781285,0.7988567455880391
quality,hot,85,1.4191153453435321,0.8492929657470114
quality,hot,95,1.0902684339846802,0.9076842598665018
resolution,hot,256,1.4191153453435321,0.8492929657470114
resolution,hot,192,1.4777186706767436,0.8754427608270918
resolution,hot,128,1.671160157326065,0.8971092988770693
resolution,hot,96,1.4713722196472068,0.9185046895716826
resolution,hot,64,1.6658440270782564,0.936476313348484
quality,jet,50,1.8930347777741923,0.6906806178751461
quality,jet,65,1.7512096624211635,0.7317321468145429
quality,jet,75,1.6341755749092797,0.7658221935452356
quality,jet,85,1.4373895643654575,0.8139525318237084
quality,jet,95,1.2526176804352012,0.8447188320644307
resolution,jet,256,1.4373895643654575,0.8139525318237084
resolution,jet,192,1.46265852226153,0.8650287401792579
resolution,jet,128,1.560759328014206,0.9013113472850972
resolution,jet,96,1.3922635005427393,0.9183075789036077
resolution,jet,64,1.7069635537217127,0.9256067440344966
quality,viridis,50,2.3907802795733692,0.5830384228105118
quality,viridis,65,2.3654191948045007,0.6079857456934514
quality,viridis,75,2.2586487626495453,0.6165081520265955
quality,viridis,85,2.1236169980386843,0.6698811348952123
quality,viridis,95,1.779007036129285,0.7585693537442951
resolution,viridis,256,2.1236169980386843,0.6698811348952123
resolution,viridis,192,2.2530006006334,0.7352397109066213
resolution,viridis,128,2.4663356206260643,0.8057559280703662
resolution,viridis,96,2.0972742306472023,0.8616719584847657
resolution,viridis,64,2.0707550431602435,0.9254953502883491
quality,copper,50,2.819790345313681,0.7218061897444018
quality,copper,65,2.5180682601032176,0.782895141753334
quality,copper,75,2.3635409048130556,0.8029134295275836
quality,copper,85,2.0165384914090336,0.8623543853131516
quality,copper,95,1.5331347811447165,0.9208287312615457
resolution,copper,256,2.0165384914090336,0.8623543853131516
resolution,copper,192,1.493220686234996,0.9212586497189571
resolution,copper,128,1.2944674877866593,0.9416573544363943
resolution,copper,96,1.317932012311977,0.9492593245214946
resolution,copper,64,1.0097920773231435,0.9686221690605656
quality,hot,50,2.6713436614987107,0.7653047194644107
quality,hot,65,2.5035328863253272,0.7967109690102945
quality,hot,75,2.2770257192937686,0.8341122257286775
quality,hot,85,1.9669390215526692,0.8767790760260884
quality,hot,95,1.6762849067815717,0.9133348368180593
resolution,hot,256,1.9669390215526692,0.8767790760260884
resolution,hot,192,1.6454191988878284,0.9082008082885282
resolution,hot,128,1.4444087363674623,0.9328457053689612
resolution,hot,96,1.4451266271982404,0.9417295252276241
resolution,hot,64,1.2296350745145874,0.9543853098100431
quality,jet,50,3.364629383372391,0.5147070929710664
quality,jet,65,3.0916941043237935,0.5882084573380556
quality,jet,75,2.886128346818508,0.6375729405160278
quality,jet,85,2.667420983073578,0.6820160668991427
quality,jet,95,2.5790054161623974,0.6962091054791294
resolution,jet,256,2.667420983073578,0.6820160668991427
resolution,jet,192,2.0520322642699766,0.8243026932562348
resolution,jet,128,1.5637437458191399,0.9140247209568167
resolution,jet,96,1.637183600642526,0.9215758089361609
resolution,jet,64,1.44723369114015,0.946139244924323
quality,viridis,50,3.7272295776892466,0.46598440716090916
quality,viridis,65,3.650388901463402,0.49391072761330806
quality,viridis,75,3.5304114490036245,0.5196809826771296
quality,viridis,85,3.3274442989440205,0.5766548898965412
quality,viridis,95,2.707692644616345,0.7224835664689948
resolution,viridis,256,3.3274442989440205,0.5766548898965412
resolution,viridis,192,2.8515611324097674,0.6905866937678764
resolution,viridis,128,2.5005387084763084,0.7844421600452915
resolution,viridis,96,2.419468892816984,0.8330550374188819
resolution,viridis,64,1.6204335783486603,0.9267458395522854
quality,copper,50,2.5033165673379196,0.8078201168383697
quality,copper,65,2.14266274063329,0.8621828469778787
quality,copper,75,2.115361038575369,0.8625886467922149
quality,copper,85,1.7881229040762836,0.9034804082784705
quality,copper,95,1.3304668154810995,0.9435837209265333
resolution,copper,256,1.7881229040762836,0.9034804082784705
resolution,copper,192,1.4542195972862144,0.9404187476865417
resolution,copper,128,1.2012881530135042,0.9579060089627527
resolution,copper,96,1.074421209385229,0.9667215921539727
resolution,copper,64,0.9307128177271495,0.9787974474892587
quality,hot,50,2.2808613282535437,0.8360296565426045
quality,hot,65,2.088443982335145,0.8614586196619484
quality,hot,75,1.9165760489933934,0.8854346905078535
quality,hot,85,1.6077050039087888,0.9200062092472292
quality,hot,95,1.3017608553915798,0.949787787059537
resolution,hot,256,1.6077050039087888,0.9200062092472292
resolution,hot,192,1.3588451285875958,0.9495139716876629
resolution,hot,128,1.1416867410609917,0.9633687910124532
resolution,hot,96,1.0332947863208148,0.9659599825024217
resolution,hot,64,1.0339477776994206,0.9669356683427888
quality,jet,50,2.827173254158464,0.6907447418957579
quality,jet,65,2.5127573221180937,0.7578177260631068
quality,jet,75,2.273903973476155,0.8031716943379695
quality,jet,85,2.026369303003782,0.8418786072811686
quality,jet,95,1.9014390883337173,0.8584578259933533
resolution,jet,256,2.026369303003782,0.8418786072811686
resolution,jet,192,1.5891306181769145,0.9177366656851321
resolution,jet,128,1.1180238112363543,0.9625291419557231
resolution,jet,96,0.9783437365299968,0.9704160812341418
resolution,jet,64,0.9521366878818562,0.9666294862759102
quality,viridis,50,3.694411371034914,0.5666482846072366
quality,viridis,65,3.4883939690552417,0.6085526187611218
quality,viridis,75,3.246033415313393,0.6568267345491771
quality,viridis,85,2.8853781071021674,0.7195116446847178
quality,viridis,95,2.1468400973655077,0.8476273827076717
resolution,viridis,256,2.8853781071021674,0.7195116446847178
resolution,viridis,192,2.5220997692606097,0.8061957266914874
resolution,viridis,128,2.0284441583319723,0.880541703709223
resolution,viridis,96,1.730354749085497,0.9173610653341053
resolution,viridis,64,1.3402832068993082,0.9627739509010892
quality,copper,50,2.8727188696730166,0.6903876298896849
quality,copper,65,2.5158861525863814,0.7565535317681747
quality,copper,75,2.2837467637313056,0.7979083474067287
quality,copper,85,1.9409209096178164,0.8557656339847252
quality,copper,95,1.4760714554134116,0.9174858454608241
resolution,copper,256,1.9409209096178164,0.8557656339847252
resolution,copper,192,1.8210635031941498,0.90744537993971
resolution,copper,128,1.5363043433256394,0.9320668327811005
resolution,copper,96,1.6289371864025322,0.9396826072328979
resolution,copper,64,1.3414841860127515,0.9607165728585668
quality,hot,50,2.7308554792315443,0.7505482824905697
quality,hot,65,2.5845899501991534,0.7840274623962531
quality,hot,75,2.3525294625393554,0.8167916290683184
quality,hot,85,2.0187442678450513,0.8669162663714776
quality,hot,95,1.6720186625345441,0.9095873212729879
resolution,hot,256,2.0187442678450513,0.8669162663714776
resolution,hot,192,2.85085485756648,0.8345970820941867
resolution,hot,128,3.02385997149453,0.7984532511382733
resolution,hot,96,3.4980477348558705,0.7700937123834024
resolution,hot,64,3.40852392302958,0.7424498349838731
quality,jet,50,3.3271452798099226,0.4725899752266766
quality,jet,65,3.2072298053546535,0.5253067789982139
quality,jet,75,3.0006984947263105,0.566770201422849
quality,jet,85,2.7674033917771164,0.6061706342296641
quality,jet,95,2.6416932738444423,0.6249372894274898
resolution,jet,256,2.7674033917771164,0.6061706342296641
resolution,jet,192,2.872302935129779,0.7580560515246338
resolution,jet,128,2.200139569824415,0.8897019520178208
resolution,jet,96,2.3566214848522793,0.9078976945826455
resolution,jet,64,2.1844860369011876,0.9380381233743434
quality,viridis,50,3.3969804887540733,0.487712764884834
quality,viridis,65,3.376489227059968,0.48907037141445786
quality,viridis,75,3.2781635711143515,0.5135079586891732
quality,viridis,85,3.0876090499550854,0.5651604487602138
quality,viridis,95,2.6504720466003477,0.6874682839710035
resolution,viridis,256,3.0876090499550854,0.5651604487602138
resolution,viridis,192,3.296293621510692,0.6500776215980477
resolution,viridis,128,2.7147592676632155,0.7653087801759183
resolution,viridis,96,2.6295155031021684,0.8212763685134581
resolution,viridis,64,1.7922022067094108,0.9141360152227662
quality,copper,50,2.7064415511164968,0.771936190615585
quality,copper,65,2.4366894425290377,0.8073227955087169
quality,copper,75,2.3727320606553572,0.8256235000309169
quality,copper,85,2.037574495733574,0.864351852071482
quality,copper,95,1.4322940751985773,0.9323299758675637
resolution,copper,256,2.037574495733574,0.864351852071482
resolution,copper,192,1.8597628696104498,0.91683691134942
resolution,copper,128,1.7747829346362147,0.9411540628853594
resolution,copper,96,1.791558977049902,0.9546744529820071
resolution,copper,64,1.6351428246144022,0.9710505979184002
quality,hot,50,2.7614798044100324,0.7231639784681112
quality,hot,65,2.517360147106475,0.7614185072420939
quality,hot,75,2.330912675182526,0.7929158157354432
quality,hot,85,2.0322566210640134,0.8391079763758807
quality,hot,95,1.6295835458206231,0.9003681918554842
resolution,hot,256,2.0322566210640134,0.8391079763758807
resolution,hot,192,2.0207086519606845,0.8932920098855478
resolution,hot,128,2.075248893235262,0.9197766518443612
resolution,hot,96,2.37023153189693,0.9251174832941791
resolution,hot,64,3.0247329826746574,0.9178319859414187
quality,jet,50,2.4249167034904833,0.7500261829572271
quality,jet,65,2.1808819691648265,0.7907543161034154
quality,jet,75,1.9917493242615874,0.8220029254216521
quality,jet,85,1.7529013617763884,0.8550489972207581
quality,jet,95,1.5753308580290077,0.8754206281289177
resolution,jet,256,1.7529013617763884,0.8550489972207581
resolution,jet,192,1.568803686306925,0.9156490586703646
resolution,jet,128,1.368437833896779,0.9459571375995809
resolution,jet,96,1.4062698847008814,0.9497345289828434
resolution,jet,64,1.4500212150504685,0.9555747292468308
quality,viridis,50,3.349174548035321,0.5907054528249035
quality,viridis,65,3.1322285576288014,0.6396384634901724
quality,viridis,75,2.9603251900269063,0.6731665406347725
quality,viridis,85,2.6177283527073505,0.7446932906877863
quality,viridis,95,2.224178872777437,0.8073498738389128
resolution,viridis,256,2.6177283527073505,0.7446932906877863
resolution,viridis,192,2.3054668204005413,0.8538881587728981
resolution,viridis,128,1.864657388897388,0.9258238527651412
resolution,viridis,96,1.7497488935679015,0.9491786761030361
resolution,viridis,64,1.3878505264185899,0.974228856590632
quality,copper,50,2.6870767370238533,0.7237866923741307
quality,copper,65,2.3808990351894463,0.784846284980949
quality,copper,75,2.1885037767269697,0.8164512746846867
quality,copper,85,1.8821081349353748,0.8665857809816906
quality,copper,95,1.380832794437861,0.9304797356841292
resolution,copper,256,1.8821081349353748,0.8665857809816906
resolution,copper,192,1.4717872679887456,0.9279252973257207
resolution,copper,128,1.3969500735164186,0.9478502904826102
resolution,copper,96,1.2739977925104928,0.9600788675424503
resolution,copper,64,1.0975364305933935,0.9774331991633786
quality,hot,50,2.905470620238113,0.6853655322809188
quality,hot,65,2.9656386168412263,0.6952707181700672
quality,hot,75,2.691043107218388,0.7318765644273482
quality,hot,85,2.400723440933126,0.788509601877736
quality,hot,95,2.013659491480867,0.8591649863235556
resolution,hot,256,2.400723440933126,0.788509601877736
resolution,hot,192,2.7607558968430537,0.8188143393699573
resolution,hot,128,3.3154731661861914,0.8276687040048779
resolution,hot,96,3.580787495710861,0.8317626050627973
resolution,hot,64,4.472487979043837,0.8108944665651562
quality,jet,50,2.724944507153577,0.6356001551307424
quality,jet,65,2.5438128436880616,0.6811070374120274
quality,jet,75,2.3908074212175308,0.721604036630325
quality,jet,85,2.215920472250344,0.7599653630392056
quality,jet,95,2.144489784019621,0.7722346085730821
resolution,jet,256,2.215920472250344,0.7599653630392056
resolution,jet,192,1.913615647116817,0.8636501186084086
